timestamp,length,src_mac,dst_mac,eth_type,src_ip,dst_ip,protocol,ttl,icmp_type,icmp_code
2025-03-04 21:00:01.150630951,70,00:00:00:00:01:02,33:33:00:00:00:02,0x86dd,,,,,,
2025-03-04 21:00:01.150639057,70,a2:12:bc:a5:b2:28,33:33:00:00:00:02,0x86dd,,,,,,
2025-03-04 21:00:01.151190996,70,52:cc:09:43:3c:02,33:33:00:00:00:02,0x86dd,,,,,,
2025-03-04 21:00:01.151309967,70,a2:12:bc:a5:b2:28,33:33:00:00:00:02,0x86dd,,,,,,
2025-03-04 21:00:01.151433945,70,00:00:00:00:01:02,33:33:00:00:00:02,0x86dd,,,,,,
2025-03-04 21:00:01.235028028,98,00:00:00:00:01:01,00:00:00:00:01:02,0x800,10.0.1.1,10.0.1.2,1.0,64.0,8.0,0.0
2025-03-04 21:00:01.235049963,98,00:00:00:00:01:02,00:00:00:00:01:01,0x800,10.0.1.2,10.0.1.1,1.0,64.0,0.0,0.0
2025-03-04 21:00:01.662961960,70,00:00:00:00:01:01,33:33:00:00:00:02,0x86dd,,,,,,
2025-03-04 21:00:02.238919020,98,00:00:00:00:01:01,00:00:00:00:01:02,0x800,10.0.1.1,10.0.1.2,1.0,64.0,8.0,0.0
2025-03-04 21:00:02.238939047,98,00:00:00:00:01:02,00:00:00:00:01:01,0x800,10.0.1.2,10.0.1.1,1.0,64.0,0.0,0.0
2025-03-04 21:00:03.262892962,98,00:00:00:00:01:01,00:00:00:00:01:02,0x800,10.0.1.1,10.0.1.2,1.0,64.0,8.0,0.0
2025-03-04 21:00:03.262913942,98,00:00:00:00:01:02,00:00:00:00:01:01,0x800,10.0.1.2,10.0.1.1,1.0,64.0,0.0,0.0
2025-03-04 21:00:04.287003994,98,00:00:00:00:01:01,00:00:00:00:01:02,0x800,10.0.1.1,10.0.1.2,1.0,64.0,8.0,0.0
2025-03-04 21:00:04.287020922,98,00:00:00:00:01:02,00:00:00:00:01:01,0x800,10.0.1.2,10.0.1.1,1.0,64.0,0.0,0.0
2025-03-04 21:00:05.310969114,98,00:00:00:00:01:01,00:00:00:00:01:02,0x800,10.0.1.1,10.0.1.2,1.0,64.0,8.0,0.0
2025-03-04 21:00:05.310992002,98,00:00:00:00:01:02,00:00:00:00:01:01,0x800,10.0.1.2,10.0.1.1,1.0,64.0,0.0,0.0
2025-03-04 21:00:06.334974051,98,00:00:00:00:01:01,00:00:00:00:01:02,0x800,10.0.1.1,10.0.1.2,1.0,64.0,8.0,0.0
2025-03-04 21:00:06.334990025,98,00:00:00:00:01:02,00:00:00:00:01:01,0x800,10.0.1.2,10.0.1.1,1.0,64.0,0.0,0.0
2025-03-04 21:00:07.358964920,98,00:00:00:00:01:01,00:00:00:00:01:02,0x800,10.0.1.1,10.0.1.2,1.0,64.0,8.0,0.0
2025-03-04 21:00:07.358985901,98,00:00:00:00:01:02,00:00:00:00:01:01,0x800,10.0.1.2,10.0.1.1,1.0,64.0,0.0,0.0
2025-03-04 21:00:08.382947922,98,00:00:00:00:01:01,00:00:00:00:01:02,0x800,10.0.1.1,10.0.1.2,1.0,64.0,8.0,0.0
2025-03-04 21:00:08.382966995,98,00:00:00:00:01:02,00:00:00:00:01:01,0x800,10.0.1.2,10.0.1.1,1.0,64.0,0.0,0.0
2025-03-04 21:00:09.342631102,70,a2:12:bc:a5:b2:28,33:33:00:00:00:02,0x86dd,,,,,,
2025-03-04 21:00:09.342895985,70,a2:12:bc:a5:b2:28,33:33:00:00:00:02,0x86dd,,,,,,
2025-03-04 21:00:09.407013893,98,00:00:00:00:01:01,00:00:00:00:01:02,0x800,10.0.1.1,10.0.1.2,1.0,64.0,8.0,0.0
2025-03-04 21:00:09.407036066,98,00:00:00:00:01:02,00:00:00:00:01:01,0x800,10.0.1.2,10.0.1.1,1.0,64.0,0.0,0.0
